spec,query_family,layout,batch,n_runs,metric_mean,metric_median,metric_std,csv_path
spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1,RQ7_Q1,no_layout,0,10,1061.2182,1104.9025,90.16756832786385,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1/batch_0/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1_batch_0.csv
spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1,RQ7_Q1,no_layout,1,10,1643.7643,1644.778,46.24378072357405,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1/batch_1/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1_batch_1.csv
spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1,RQ7_Q1,no_layout,2,10,1677.4483,1646.025,82.57664057716323,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1/batch_2/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1_batch_2.csv
spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1,RQ7_Q1,no_layout,3,10,1644.3489999999997,1649.5985,52.73123612812431,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1/batch_3/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1_batch_3.csv
spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1,RQ7_Q1,no_layout,4,10,1688.7782,1680.9365,104.25322940686299,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1/batch_4/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1_batch_4.csv
spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1,RQ7_Q1,no_layout,5,10,1664.0705999999998,1663.2,102.56017381537534,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1/batch_5/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1_batch_5.csv
spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1,RQ7_Q1,no_layout,6,10,1658.5961000000002,1645.036,75.52908578216737,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1/batch_6/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1_batch_6.csv
spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1,RQ7_Q1,no_layout,7,10,1634.6226000000001,1619.9315,49.88692874531366,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1/batch_7/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1_batch_7.csv
spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1,RQ7_Q1,no_layout,8,10,1701.4669000000001,1683.344,97.87682578777265,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1/batch_8/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1_batch_8.csv
spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1,RQ7_Q1,no_layout,9,10,1660.7633,1685.779,51.67633558612682,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1/batch_9/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1_batch_9.csv
