spec,query_family,layout,batch,n_runs,metric_mean,metric_median,metric_std,csv_path
spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1,RQ7_Q1,no_layout,0,10,0.47650000000000003,0.41500000000000004,0.14435113439110894,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1/batch_0/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1_batch_0.csv
spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1,RQ7_Q1,no_layout,1,10,0.2266,0.1665,0.1540222061911853,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1/batch_1/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1_batch_1.csv
spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1,RQ7_Q1,no_layout,2,10,0.16570000000000001,0.155,0.057057952995178504,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1/batch_2/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1_batch_2.csv
spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1,RQ7_Q1,no_layout,3,10,0.2519,0.214,0.18873974144307823,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1/batch_3/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1_batch_3.csv
spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1,RQ7_Q1,no_layout,4,10,0.19720000000000001,0.1945,0.05402184743231205,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1/batch_4/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1_batch_4.csv
spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1,RQ7_Q1,no_layout,5,10,0.3507,0.21100000000000002,0.25285175498698836,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1/batch_5/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1_batch_5.csv
spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1,RQ7_Q1,no_layout,6,10,0.23609999999999998,0.20450000000000002,0.11672484739762996,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1/batch_6/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1_batch_6.csv
spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1,RQ7_Q1,no_layout,7,10,0.26530000000000004,0.212,0.15185391005831889,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1/batch_7/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1_batch_7.csv
spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1,RQ7_Q1,no_layout,8,10,0.33599999999999997,0.2965,0.1501166213315501,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1/batch_8/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1_batch_8.csv
spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1,RQ7_Q1,no_layout,9,10,0.30749999999999994,0.271,0.1207710644152812,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1/batch_9/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1_batch_9.csv
spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1,RQ7_Q1,no_layout,10,10,0.2791,0.25,0.16632525364477876,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1/batch_10/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_1_S1_C1_N2_O1_batch_10.csv
spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1,RQ7_Q1,no_layout,0,10,0.5371,0.498,0.17229825884204403,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1/batch_0/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1_batch_0.csv
spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1,RQ7_Q1,no_layout,1,10,0.23230000000000003,0.2,0.1125789056617624,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1/batch_1/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1_batch_1.csv
spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1,RQ7_Q1,no_layout,2,10,0.25339999999999996,0.21250000000000002,0.14633126801883456,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1/batch_2/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1_batch_2.csv
spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1,RQ7_Q1,no_layout,3,10,0.23490000000000003,0.197,0.1289166009480548,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1/batch_3/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1_batch_3.csv
spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1,RQ7_Q1,no_layout,4,10,0.1865,0.1835,0.043986929876953226,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1/batch_4/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1_batch_4.csv
spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1,RQ7_Q1,no_layout,5,10,0.3036,0.22999999999999998,0.206884605517182,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1/batch_5/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1_batch_5.csv
spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1,RQ7_Q1,no_layout,6,10,0.21280000000000002,0.21600000000000003,0.053912521736605865,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1/batch_6/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1_batch_6.csv
spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1,RQ7_Q1,no_layout,7,10,0.2082,0.213,0.04434591300221476,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1/batch_7/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1_batch_7.csv
spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1,RQ7_Q1,no_layout,8,10,0.29579999999999995,0.2415,0.18652066909594764,/Users/guanlil1/Dropbox/PostDoc/topics/lakehouse_sfc/results/RQ7/spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1/batch_8/results_hudi_no_layout_spec_tpch_RQ7_Q1_N1_2_S1_C1_N2_O1_batch_8.csv
